48,守屋 茜,MORIYA Akane,櫻坂46◢,1997.11.12 (26歳),宮城県,A型,163.5cm,1期,,
49,相楽 伊織,SAGARA Iori,乃木坂46◢,1997.11.26 (26歳),埼玉県,O型,164cm,2期,,
50,鈴本 美愉,SUZUMOTO Miyu,欅坂46◢,1997.12.05 (26歳),愛知県,AB型,155cm,1期,,
51,潮 紗理菜,USHIO Sarina,日向坂46◢,1997.12.26 (26歳),神奈川県,O型,158.2cm,1期,,
52,樋口 日奈,HIGUCHI Hina,乃木坂46◢,1998.01.31 (26歳),東京都,A型,161cm,1期,,
53,加藤 史帆,KATO Shiho,日向坂46◢,1998.02.02 (26歳),東京都,A型,160.7cm,1期,,
54,星野 みなみ,HOSHINO Minami,乃木坂46◢,1998.02.06 (26歳),千葉県,B型,155cm,1期,,
55,齋藤 冬優花,SAITO Fuyuka,櫻坂46◢,1998.02.15 (26歳),東京都,O型,158cm,1期,,
56,川後 陽菜,KAWAGO Hina,乃木坂46◢,1998.03.22 (26歳),長崎県,O型,158cm,1期,,
57,佐藤 楓,SATO Kaede,乃木坂46◢,1998.03.23 (26歳),愛知県,A型,161cm,3期,,
58,和田 まあや,WADA Maaya,乃木坂46◢,1998.04.23 (26歳),広島県,O型,161cm,1期,,
59,宮田 愛萌,MIYATA Manamo,日向坂46◢,1998.04.28 (26歳),東京都,A型,159.3cm,1期,,
60,松平 璃子,MATSUDAIRA Riko,櫻坂46◢,1998.05.05 (26歳),東京都,O型,168.3cm,2期,,
61,織田 奈那,ODA Nana,欅坂46◢,1998.06.04 (26歳),静岡県,O型,161.1cm,1期,,
62,関 有美子,SEKI Yumiko,櫻坂46◢,1998.06.29 (26歳),福岡県,A型,167cm,2期,,
63,渡邉 理佐,WATANABE Risa,櫻坂46◢,1998.07.27 (26歳),茨城県,O型,167cm,1期,,
64,齋藤 飛鳥,SAITO Asuka,乃木坂46◢,1998.08.10 (26歳),東京都,O型,158cm,1期,,
65,東村 芽依,HIGASHIMURA Mei,日向坂46◢,1998.08.23 (26歳),奈良県,O型,154.1cm,1期,,
66,佐々木 琴子,SASAKI Kotoko,乃木坂46◢,1998.08.28 (26歳),埼玉県,A型,163cm,2期,,
67,長濱 ねる,NAGAHAMA Neru,欅坂46◢,1998.09.04 (26歳),長崎県,O型,159cm,1期,,
68,高瀬 愛奈,TAKASE Mana,日向坂46◢,1998.09.20 (26歳),大阪府,A型,156.9cm,1期,,
69,寺田 蘭世,TERADA Ranze,乃木坂46◢,1998.09.23 (26歳),東京都,不明,155cm,2期,,
70,今泉 佑唯,IMAIZUMI Yui,欅坂46◢,1998.09.30 (26歳),神奈川県,O型,153cm,1期,,
71,田村 保乃,TAMURA Hono,櫻坂46◢,1998.10.21 (25歳),大阪府,A型,163cm,2期,,
72,高本 彩花,TAKAMOTO Ayaka *,日向坂46◢,1998.11.02 (25歳),神奈川県,B型,162.5cm,1期,,
73,小池 美波,KOIKE Minami,櫻坂46◢,1998.11.14 (25歳),兵庫県,B型,158.5cm,1期,,
74,志田 愛佳,SHIDA Manaka,欅坂46◢,1998.11.23 (25歳),新潟県,A型,169cm,1期,,
75,伊藤 純奈,ITO Junna,乃木坂46◢,1998.11.30 (25歳),神奈川県,A型,166cm,2期,,
76,梅澤 美波,UMEZAWA Minami,乃木坂46◢,1999.01.06 (25歳),神奈川県,A型,170cm,3期,,
77,田村 真佑,TAMURA Mayu,乃木坂46◢,1999.01.12 (25歳),埼玉県,A型,160cm,4期,,
78,弓木 奈於,YUMIKI Nao,乃木坂46◢,1999.02.03 (25歳),京都府,A型,165cm,4期,,
79,鈴木 絢音,SUZUKI Ayane,乃木坂46◢,1999.03.05 (25歳),秋田県,O型,161cm,2期,,
80,遠藤 光莉,ENDO Hikari,櫻坂46◢,1999.04.17 (25歳),神奈川県,A型,163.3cm,2期,,
81,松田 好花,MATSUDA Konoka,日向坂46◢,1999.04.27 (25歳),京都府,A型,157.5cm,2期,,
82,山下 美月,YAMASHITA Mizuki *,乃木坂46◢,1999.07.26 (25歳),東京都,O型,160cm,3期,,
83,向井 葉月,MUKAI Hazuki,乃木坂46◢,1999.08.23 (25歳),東京都,A型,152cm,3期,,
84,大園 桃子,OZONO Momoko,乃木坂46◢,1999.09.13 (25歳),鹿児島県,O型,156cm,3期,,
85,大沼 晶保,ONUMA Akiho,櫻坂46◢,1999.10.12 (25歳),静岡県,B型,161cm,2期,,
86,松田 里奈,MATSUDA Rina,櫻坂46◢,1999.10.13 (25歳),宮崎県,O型,159.5cm,2期,,
87,小林 由依,KOBAYASHI Yui,櫻坂46◢,1999.10.23 (24歳),埼玉県,A型,161cm,1期,,
88,渡辺 みり愛,WATANABE Miria,乃木坂46◢,1999.11.01 (24歳),東京都,O型,153cm,2期,,
89,佐々木 美玲,SASAKI Mirei,日向坂46◢,1999.12.17 (24歳),兵庫県,O型,164.9cm,1期,,
90,守屋 麗奈,MORIYA Rena,櫻坂46◢,2000.01.02 (24歳),東京都,AB型,154cm,2期,,
91,渡邉 美穂,WATANABE Miho,日向坂46◢,2000.02.24 (24歳),埼玉県,A型,158.2cm,2期,,
92,米谷 奈々未,YONETANI Nanami,欅坂46◢,2000.02.24 (24歳),大阪府,B型,157cm,1期,,
93,大園 玲,OZONO Rei,櫻坂46◢,2000.04.18 (24歳),鹿児島県,A型,163cm,2期,,
94,与田 祐希,YODA Yuuki,乃木坂46◢,2000.05.05 (24歳),福岡県,O型,153cm,3期,,
95,原田 葵,HARADA Aoi,櫻坂46◢,2000.05.07 (24歳),東京都,AB型,156cm,1期,,
96,早川 聖来,HAYAKAWA Seira,乃木坂46◢,2000.08.24 (24歳),大阪府,A型,164cm,4期,,
97,富田 鈴花,TOMITA Suzuka,日向坂46◢,2001.01.18 (23歳),神奈川県,A型,165.4cm,2期,,
98,井上 梨名,INOUE Rina,櫻坂46◢,2001.01.29 (23歳),兵庫県,A型,163cm,2期,,
99,丹生 明里,NIBU Akari,日向坂46◢,2001.02.15 (23歳),埼玉県,AB型,156.6cm,2期,,
100,影山 優佳,KAGEYAMA Yuuka,日向坂46◢,2001.05.08 (23歳),東京都,O型,155.5cm,1期,,
101,平手 友梨奈,HIRATE Yurina,欅坂46◢,2001.06.25 (23歳),愛知県,O型,163cm,1期,,
102,森田 ひかる,MORITA Hikaru,櫻坂46◢,2001.07.10 (23歳),福岡県,B型,150.5cm,2期,,
103,久保 史緒里,KUBO Shiori,乃木坂46◢,2001.07.14 (23歳),宮城県,O型,161cm,3期,,
104,河田 陽菜,KAWATA Hina,日向坂46◢,2001.07.23 (23歳),山口県,B型,154cm,2期,,
105,賀喜 遥香,KAKI Haruka,乃木坂46◢,2001.08.08 (23歳),栃木県,A型,166cm,4期,,
106,北川 悠理,KITAGAWA Yuri,乃木坂46◢,2001.08.08 (23歳),米国ｶﾘﾌｫﾙﾆｱ州,不明,165cm,4期,,
107,佐藤 璃果,SATO Rika,乃木坂46◢,2001.08.09 (23歳),岩手県,B型,160cm,4期,,
108,藤吉 夏鈴,FUJIYOSHI Karin,櫻坂46◢,2001.08.29 (23歳),大阪府,A型,165.1cm,2期,,
109,中村 麗乃,NAKAMURA Reno,乃木坂46◢,2001.09.27 (23歳),東京都,不明,167cm,3期,,
110,遠藤 さくら,ENDO Sakura,乃木坂46◢,2001.10.03 (23歳),愛知県,O型,164cm,4期,,
111,金川 紗耶,KANAGAWA Saya,乃木坂46◢,2001.10.31 (22歳),北海道,O型,165cm,4期,,
112,阪口 珠美,SAKAGUCHI Tamami,乃木坂46◢,2001.11.10 (22歳),東京都,A型,161cm,3期,,
113,柿崎 芽実,KAKIZAKI Memi,日向坂46◢,2001.12.02 (22歳),長野県,A型,156cm,1期,,
114,増本 綺良,MASUMOTO Kira,櫻坂46◢,2002.01.12 (22歳),兵庫県,A型,158.4cm,2期,,
115,石森 璃花,ISHIMORI Rika,櫻坂46◢,2002.01.13 (22歳),群馬県,B型,159cm,3期,,
116,武元 唯衣,TAKEMOTO Yui,櫻坂46◢,2002.03.23 (22歳),滋賀県,O型,158.5cm,2期,,
117,平岡 海月,HIRAOKA Mitsuki,日向坂46◢,2002.04.09 (22歳),福井県,A型,157cm,4期,,
118,池田 瑛紗,IKEDA Teresa,乃木坂46◢,2002.05.12 (22歳),東京都,不明,159cm,5期,,
119,矢久保 美緒,YAKUBO Mio,乃木坂46◢,2002.08.14 (22歳),東京都,B型,153cm,4期,,
120,小坂 菜緒,KOSAKA Nao,日向坂46◢,2002.09.07 (22歳),大阪府,O型,161.9cm,2期,,
121,金村 美玖,KANEMURA Miku,日向坂46◢,2002.09.10 (22歳),埼玉県,O型,163.1cm,2期,,
122,濱岸 ひより,HAMAGISHI Hiyori,日向坂46◢,2002.09.28 (22歳),福岡県,A型,167.2cm,2期,,
123,伊藤 理々杏,ITO Riria,乃木坂46◢,2002.10.08 (22歳),沖縄県,B型,154cm,3期,,
124,掛橋 沙耶香,KAKEHASHI Sayaka,乃木坂46◢,2002.11.20 (21歳),岡山県,B型,154cm,4期,,
125,幸阪 茉里乃,KOUSAKA Marino,櫻坂46◢,2002.12.19 (21歳),三重県,O型,154.5cm,2期,,
126,中嶋 優月,NAKASHIMA Yuzuki,櫻坂46◢,2003.02.17 (21歳),福岡県,A型,162cm,3期,,
127,柴田 柚菜,SHIBATA Yuna,乃木坂46◢,2003.03.03 (21歳),千葉県,A型,160cm,4期,,
128,中西 アルノ,NAKANISHI Aruno,乃木坂46◢,2003.03.17 (21歳),千葉県,A型,157cm,5期,,
129,川﨑 桜,KAWASAKI Sakura,乃木坂46◢,2003.04.17 (21歳),神奈川県,不明,155cm,5期,,
130,山下 葉留花,YAMASHITA Haruka,日向坂46◢,2003.05.20 (21歳),愛知県,O型,160cm,4期,,
131,一ノ瀬 美空,ICHINOSE Miku,乃木坂46◢,2003.05.24 (21歳),福岡県,B型,156cm,5期,,
132,平尾 帆夏,HIRAO Honoka,日向坂46◢,2003.07.31 (21歳),鳥取県,A型,156cm,4期,,
133,清宮 レイ,SEIMIYA Rei,乃木坂46◢,2003.08.01 (21歳),埼玉県,O型,164cm,4期,,
134,髙橋 未来虹,TAKAHASHI Mikuni,日向坂46◢,2003.09.27 (21歳),東京都,B型,170cm,3期,,
135,林 瑠奈,HAYASHI Runa,乃木坂46◢,2003.10.02 (21歳),神奈川県,O型,164cm,4期,,
136,岡本 姫奈,OKAMOTO Hina,乃木坂46◢,2003.12.17 (20歳),愛知県,A型,158cm,5期,,
137,松尾 美佑,MATSUO Miyu,乃木坂46◢,2004.01.03 (20歳),千葉県,O型,167cm,4期,,
138,黒見 明香,KUROMI Haruka,乃木坂46◢,2004.01.19 (20歳),東京都,O型,162cm,4期,,
139,岩本 蓮加,IWAMOTO Renka,乃木坂46◢,2004.02.02 (20歳),東京都,B型,159cm,3期,,
140,森本 茉莉,MORIMOTO Marie,日向坂46◢,2004.02.23 (20歳),東京都,A型,160.9cm,3期,,
141,山口 陽世,YAMAGUCHI Haruyo,日向坂46◢,2004.02.23 (20歳),鳥取県,O型,151.7cm,3期,,
142,上村 ひなの,KAMIMURA Hinano,日向坂46◢,2004.04.12 (20歳),東京都,AB型,162.4cm,3期,,
143,筒井 あやめ,TSUTSUI Ayame,乃木坂46◢,2004.06.08 (20歳),愛知県,O型,160cm,4期,,
144,小田倉 麗奈,ODAKURA Reina,櫻坂46◢,2004.07.25 (20歳),東京都,A型,163cm,3期,,
145,石塚 瑶季,ISHIZUKA Tamaki,日向坂46◢,2004.08.06 (20歳),東京都,A型,154cm,4期,,
146,岸 帆夏,KISHI Honoka,日向坂46◢,2004.08.15 (20歳),東京都,O型,157cm,4期,,
147,村井 優,MURAI Yu,櫻坂46◢,2004.08.18 (20歳),東京都,B型,156cm,3期,,
148,小西 夏菜実,KONISHI Nanami,日向坂46◢,2004.10.03 (20歳),兵庫県,B型,164cm,4期,,
149,清水 理央,SHIMIZU Rio,日向坂46◢,2005.01.15 (19歳),千葉県,AB型,165cm,4期,,
150,山下 瞳月,YAMASHITA Shizuki,櫻坂46◢,2005.01.22 (19歳),京都府,A型,152cm,3期,,
151,村山 美羽,MURAYAMA Miu,櫻坂46◢,2005.02.15 (19歳),東京都,O型,168cm,3期,,
152,井上 和,INOUE Nagi,乃木坂46◢,2005.02.17 (19歳),神奈川県,B型,156cm,5期,,
153,谷口 愛季,TANIGUCHI Airi,櫻坂46◢,2005.04.12 (19歳),山口県,O型,151cm,3期,,
154,小島 凪紗,KOJIMA Nagisa,櫻坂46◢,2005.07.07 (19歳),長野県,不明,165cm,3期,,
155,五百城 茉央,IOKI Mao,乃木坂46◢,2005.07.29 (19歳),兵庫県,O型,166cm,5期,,
156,奥田 いろは,OKUDA Iroha,乃木坂46◢,2005.08.20 (19歳),千葉県,A型,157cm,5期,,
157,山﨑 天,YAMASAKI Ten,櫻坂46◢,2005.09.28 (19歳),大阪府,A型,168.4cm,2期,,
158,菅原 咲月,SUGAWARA Satsuki,乃木坂46◢,2005.10.31 (18歳),千葉県,A型,157cm,5期,,
159,宮地 すみれ,MIYACHI Sumire,日向坂46◢,2005.12.31 (18歳),神奈川県,不明,162.2cm,4期,,
160,遠藤 理子,ENDO Riko,櫻坂46◢,2006.01.09 (18歳),埼玉県,A型,155cm,3期,,
161,竹内 希来里,TAKEUCHI Kirari,日向坂46◢,2006.02.20 (18歳),広島県,AB型,153cm,4期,,
162,向井 純葉,MUKAI Itoha,櫻坂46◢,2006.05.09 (18歳),広島県,AB型,163cm,3期,,
163,藤嶌 果歩,FUJISHIMA Kaho,日向坂46◢,2006.08.07 (18歳),北海道,不明,158cm,4期,,
164,冨里 奈央,TOMISATO Nao,乃木坂46◢,2006.09.18 (18歳),千葉県,O型,164cm,5期,,
165,的野 美青,MATONO Mio,櫻坂46◢,2006.11.08 (17歳),福岡県,AB型,166cm,3期,,
166,正源司 陽子,SHOGENJI Yoko,日向坂46◢,2007.02.14 (17歳),兵庫県,B型,156.5cm,4期,,
167,小川 彩,OGAWA Aya,乃木坂46◢,2007.06.27 (17歳),千葉県,B型,154cm,5期,,
168,渡辺 莉奈,WATANABE Rina,日向坂46◢,2009.02.07 (15歳),福岡県,A型,151cm,4期,,
